id,link,view,updated,title,seller_type,price,currency,description,category,flat_number,area,room_count,documents,is_repair
Elanın nömrəsi: 3725471,https://bina.az/items/3725471,"Yeniləndi: Bugün 10:41 ,Baxışların sayı: 240",Yeniləndi: Bugün 10:41 ,"Satılır 3 otaqlı köhnə tikili 60 m², 20 Yanvar m.",vasitəçi (agent),135 000,AZN,"Mənzil 20 Yanvar və Memar Əcəmi metrosuna 5 dəq lik məsafədə olan 1 mkr Neptun marketin yaxınlığında yerləşir. 5\4-ü 3 otaq yaxşı təmirli və əşyalı, sənəd kupça
,Real müşdərilə qiymətdə razılaşma olacaq",Köhnə tikili,4 / 5,60 m²,3,var,var
Elanın nömrəsi: 3846046,https://bina.az/items/3846046,"Yeniləndi: 20 Oktyabr 2023 ,Baxışların sayı: 660",Yeniləndi: 20 Oktyabr 2023 ,"Satılır 1 otaqlı köhnə tikili 24 m², Nizami m.",vasitəçi (agent),61 000,AZN,"Dəyerli Müştərilərimiz,Super Teklif - Rahat Şekilde 300-350 Azn İcareye vermek olar,Şeherin tam merkezinde Tarqoviyə Piyada 3 deyqelik mesafede 3 mertebeli binanin 1 -ci mertebesinde umumi sahesi 24 kv 1 otaqli Yaxşi Temirli Menzil Satişa teklif olunur
,Şirketin xidmet haqqi 1% teşkil edir
,Ətrafli melumat uçun zeng edin",Köhnə tikili,1 / 3,24 m²,1,var,var
Elanın nömrəsi: 3834381,https://bina.az/items/3834381,"Yeniləndi: Bugün 10:46 ,Baxışların sayı: 87",Yeniləndi: Bugün 10:46 ,"Satılır 4 otaqlı köhnə tikili 100 m², Yeni Yasamal q.",vasitəçi (agent),177 000,AZN,"Kupcali+esyali.Y/Yasamalda Dovinci hospitalina yaxin 9 mertebeli binanin 4-cu mertebesinde 4 otaqli ela temirli menzil satilir.Bina orta mektebe,dayanacaga,ticaret merkezlerine yaxin mesafededir.Menzil merkezi istilik sistemi ile qizdirilir,esyali satilir.",Köhnə tikili,4 / 9,100 m²,4,var,var
Elanın nömrəsi: 3867895,https://bina.az/items/3867895,"Yeniləndi: Bugün 10:46 ,Baxışların sayı: 36",Yeniləndi: Bugün 10:46 ,"Satılır 2 otaqlı köhnə tikili 47 m², Nəriman Nərimanov m.",vasitəçi (agent),118 000,AZN,"Nərimanov metrosunun yaxınlığında 5/3 mərtəbəsində yerləşən 1 otaqdan əlavə 16 kv.m artırma sayəsində 2 otağa düzəlmiş əla təmirli,əşyalı və məişət teknikaları ilə birgə mənzil satılır. Binanın yanında məktəblər,bağçalar,super marketlər mövcuddur. Qaz,su,işıq daimidir. Kupça (çıxarış) var. Mənzil hal hazırda 500 azn kirayədədir. ",Köhnə tikili,3 / 5,47 m²,2,var,var
Elanın nömrəsi: 3867845,https://bina.az/items/3867845,"Yeniləndi: Bugün 10:25 ,Baxışların sayı: 28",Yeniləndi: Bugün 10:25 ,"Satılır 3 otaqlı köhnə tikili 70 m², Bakıxanov q.",mülkiyyətçi,112 000,AZN,Tecili ozume aid radnoy 3 otaq leninqrad lahieli evimi satiram menzil ipatekaya gedir orta blokda yerlesir her iki terefe 6 metrelik balkonu var menzilden metro nefcilere masnla 6 deqiqelikdir menzil alqi satqi olan gun twhvil verilecek isiq qaz su iatilik 24 saatdir 96 nomreli mekteeble uz uze olan binadir razinin en piristiwni ywridir iki otaqlinin qiymwtine verirem mezilde qeydiyatda hec kim yoxdur ,Köhnə tikili,5 / 5,70 m²,3,var,yoxdur
Elanın nömrəsi: 3867904,https://bina.az/items/3867904,"Yeniləndi: Bugün 10:47 ,Baxışların sayı: 14",Yeniləndi: Bugün 10:47 ,"Satılır 2 otaqlı köhnə tikili 70 m², Azadlıq Prospekti m.",vasitəçi (agent),124 000,AZN,"COOOOX COOOOOX COOOOX TECİLİ 8-mkr Tam merkezinde Azadliq m/sunan -yaxinĺiginda en gozel yerinde Shovket Memmedova kucesinde yerlesen kohne tikili 9 mertebeli 8-ci mertebesinde qanuni 2-otaqli menzil satilir. SHEHERE GOZEL MRNZERESİ VAR. TEZE LİFT QOYULUB SURETLİ İSHLEYİR. İsiqli ve havali evdir. Hamam toleti ayridir, qaz su isiq daimidir. istilik sistemi merkezidir senedler CIXARIS (KUPCA) IPATEKAYA yararlidir binanin sakit ve genis heyeti var parkovka problemi yasanmir etrafda her bir infrastruktur, bir cox boyuk Marketler movcuddur. Leninqrat proyektidir. Giy;124.000azn giymetle razilashmaqda olar. Binanin konumu cox gozel yerdedir. ",Köhnə tikili,8 / 9,70 m²,2,var,yoxdur
Elanın nömrəsi: 3782821,https://bina.az/items/3782821,"Yeniləndi: 13 Oktyabr 2023 ,Baxışların sayı: 868",Yeniləndi: 13 Oktyabr 2023 ,"Satılır 3 otaqlı köhnə tikili 80 m², Azadlıq Prospekti m.",vasitəçi (agent),185 000,AZN,"8 mkr Heyder Huseyinov kucesi Azadliq metrosuna 10- deqiqelik mesafede Qosazapravkanin yaxininda Tergul magazasina Qoc ətə yaxin Leninqrad layiheli abad ve genis, yasilliqli heyetlerin birinde 10 mertebeli binanin 6 ci mertebesinde ORTA BLOKUNDA RADNOY 3 otaqli menzil satilir Qaz su isiq daimidir Yaxinliqda mekteb baxca boyuk supermarketler var. Bir sozle erazi butun infrastrukutlarla ehate olunmusdur. OFIS HAQQI alan terefinden 1% odenilecek",Köhnə tikili,6 / 10,80 m²,3,var,var
Elanın nömrəsi: 3851744,https://bina.az/items/3851744,"Yeniləndi: 20 Oktyabr 2023 ,Baxışların sayı: 560",Yeniləndi: 20 Oktyabr 2023 ,"Satılır 2 otaqlı köhnə tikili 55 m², Neftçilər m.",vasitəçi (agent),135 000,AZN,"Qanuni 2 otaqlı yeni təmirli mənzil. Təmir 2 aydır olunub. Hamamda isti pol var. Qiymətə paltaryuyan, mebel, quraşdırılmış soyuducu, pərdə və s. Piyada məsafədə 8 km. bazarı, ərzaq mağazaları, məktəb, bağça. Xalqlar metrosuna piyada 6-7 dəqiqə, Neftçilərə 10 dəqiqəlik yoldur. Qarderob da var, bütün mebel və texnikası tam yenidir. İpoteka üçün uyğun satış sənədi var!
,одная 2-комнатная квартира с новым ремонтом. Ремонту 2 месяца. В ванной установлен теплый пол. В стоимость входит стиральная машина, мебель, встроенный холодильник, шторы и так далее. В пешей доступности рынок ""8 км."", продуктовые магазины, школы, сады. Пешком до метро Халглар - 6-7 минут, до Нефтчиляр 10 минут. Есть также гардеробная, вся мебель и техника абсолютно новые.
,Купчая есть, подходит под ипотеку.",Köhnə tikili,9 / 9,55 m²,2,var,var
Elanın nömrəsi: 3840593,https://bina.az/items/3840593,"Yeniləndi: 20 Oktyabr 2023 ,Baxışların sayı: 811",Yeniləndi: 20 Oktyabr 2023 ,"Satılır 3 otaqlı köhnə tikili 80 m², Yeni Günəşli q.",vasitəçi (agent),110 000,AZN,"TƏCİLİ ! SATILIR. 4 otağa düzəlib Kiev layihə. orta təmirlidir, su qaz işıq daimidir istilik sistemi mərkəzidir, binanın 24 saat mühafizə xidməti sakit həyəti var məktəb və uşaq baxçası yaxınlıqda yerləşir dayanacağa yaxındır Çıxarışı var.",Köhnə tikili,7 / 9,80 m²,3,var,var
Elanın nömrəsi: 3867790,https://bina.az/items/3867790,"Yeniləndi: Bugün 09:54 ,Baxışların sayı: 45",Yeniləndi: Bugün 09:54 ,"Satılır 2 otaqlı köhnə tikili 55 m², Memar Əcəmi m.",vasitəçi (agent),103 000,AZN,"Çox Təcili ! Kupçalı , Rodnoy 2 Otaglı Mənzil Çox Təcili Satılır ! Orta Blok ! Dəyərindən Aşagi Qiymətə Satılır !  istilik Sistemi Kombi !,Layihə : Fransiz,Mərtəbə : 3/5,Sahə : 55 kv,Otag : 2,Sənəd : Çıxarış ( Kupça ),Ünvan : Nəsimi r-nu , Mircəlal küç. , 9 MKR Terlan Şadliq Sarayi yaxinligi",Köhnə tikili,3 / 5,55 m²,2,var,var
